"STAID","REACHCODE"
"01011000","01010002000001"
"01013500","01010003000003"
"01015800","01010004001547"
"01016500","01010004000068"
"01017000","01010004000017"
"01017060","01010004001307"
"01017290","01010004001353"
"01017550","01010005000256"
"01017960","01010005000136"
"01018000","01010005000178"
"01018009","01010005000175"
"01019000","01050001000107"
"01021200","01050002000018"
"01021470","01050002000229"
"01021480","01050002000157"
"01021500","01050002000087"
"01022260","01050002000278"
"01022330","01050002000329"
"01022500","01050002004202"
"01023000","01050002000504"
"01027200","01020001000151"
"01029200","01020002000049"
"01029500","01020002000004"
"01030000","01020005001740"
"01030500","01020003000022"
"01031300","01020004000264"
"01031450","01020004001387"
"01031500","01020004000247"
"01031510","01020004000353"
"01033000","01020004000144"
"01033500","01020004000416"
"01034000","01020004000044"
"01034500","01020005000167"
"01035000","01020005000115"
"01036500","01020005000375"
"01037380","01050002000671"
"01038000","01050003000167"
"01041000","01030001000048"
"01042500","01030001000001"
"01043500","01030002000319"
"01044550","01030002000024"
"01045000","01030002000636"
"01046000","01030003000339"
"01046500","01030003000338"
"01047000","01030003001865"
"01047150","01030003000326"
"01047200","01030003000477"
"01048000","01030003000439"
"01048220","01030003000298"
"01049000","01030003000131"
"01049265","01030003000049"
"01049500","01030003000658"
"01052500","01040001000084"
"01053500","01040001000024"
"01053600","01040001000446"
"01054000","01040001000006"
"01054200","01040002000115"
"01054300","01040002000075"
"01054500","01040002000750"
"01055000","01040002000055"
"01055500","01040002000127"
"01057000","01040002000183"
"01058500","01040002000159"
"01059000","01040002000020"
"01059800","01060001000853"
"01060000","01060001000032"
"01064000","01060001000442"
"01064118","01060001000056"
"01064300","01060002000132"
"01064400","01060002000385"
"01064500","01060002001662"
"01064801","01060002000211"
"01065000","01060002000201"
"01065500","01060002000183"
"01066000","01060002001637"
"01066500","01060002000241"
"01067950","01060003000025"
"01068910","01060003001470"
"01069500","01060003000039"
"01069700","01060003001432"
"01072500","01060003001822"
"01072800","01060003000130"
"01072870","01060003000957"
"01073000","01060003000177"
"01073319","01060003000712"
"01073500","01060003001871"
"010735562","01060003000491"
"01073587","01060003000487"
"01073600","01060003000482"
"01073785","01060003000439"
"01074520","01070001000021"
"01075000","01070001000156"
"01075800","01070001000512"
"01076000","01070001000077"
"01076500","01070001000011"
"01077000","01070001000006"
"01077400","01070001000118"
"01078000","01070001000237"
"01081000","01070002000187"
"01081500","01070006002297"
"01082000","01070003000177"
"01083000","01070003000234"
"01084000","01070003000086"
"01084500","01070003000053"
"01085000","01070003000041"
"01085500","01070003000160"
"01085800","01070003000874"
"01086000","01070003000139"
"01087000","01070003000006"
"01088000","01070003001111"
"01089000","01070006001785"
"01089100","01070006001781"
