"site.no","station.nm","Trib.Name","dec.lat.va","dec.long.va","lake","WQ ID IF DIFFERENT","Country","Water Quality Samples","Streamflow","drain.area.va","tz.cd"
"02HB021","ANCASTER CREEK AT ANCASTER","Ancaster Creek",43.2311706543,-79.9738616943,"Ontario",,"CAN",,,,
"02HD020","BALTIMORE CREEK AT BALTIMORE","Baltimore Creek",44.0288314819,-78.1470565796,"Ontario",,"CAN",,,,
"02HJ007","BAXTER CREEK AT MILLBROOK","Baxter Creek",44.1502799988,-78.4467163086,"Ontario",,"CAN",,,,
"02HK006","BEAVER CREEK NEAR MARMORA","Beaver Creek",44.5351905823,-77.6965789795,"Ontario",,"CAN",,,,
"02HA028","WELLAND RIVER AT WELLANDPORT","Beaver Creek",43.0050010681,-79.4824981689,"Ontario",,"CAN",,,,
"02HE004","BLACK CREEK AT MILFORD","Black Creek",43.9355583191,-77.0898895264,"Ontario",,"CAN",,,,
"02HC027","BLACK CREEK NEAR WESTON","Black Creek",43.6742515564,-79.5043563843,"Ontario",,"CAN",,,,
"02HB024","BLACK CREEK BELOW ACTON","Black Creek",43.6293106079,-80.0104217529,"Ontario",,"CAN",,,,
"02HA029","BLACK CREEK AT STEVENSVILLE","Black Creek",42.9449996948,-79.0422210693,"Ontario",,"CAN",,,,
"04200500","Black River at Elyria OH","Black River",41.38032368,-82.10459279,"Erie",,"US","X","X",396,"EST"
"04159492","BLACK RIVER NEAR JEDDO  MI","Black River",43.15252665,-82.6240918,"Huron",,"US","X","X",464,"EST"
"04260500","BLACK RIVER AT WATERTOWN NY","Black River",43.98555556,-75.9247222,"Ontario",,"US","X","X",1864,"EST"
"02HL003","BLACK RIVER NEAR ACTINOLITE","Black River",44.5395812988,-77.3696365356,"Ontario",,"CAN",,,,
"04200000","East Branch Black River at Elyria OH","Black River (East Branch)",41.34754779,-82.0943144,"Erie",,"US","X","X",217,"EST"
"02HG003","BLACKSTOCK CREEK NEAR BLACKSTOCK","Blackstock Creek",44.1319198608,-78.8289718628,"Ontario",,"CAN",,,,
"02HE001","BLOOMFIELD CREEK AT BLOOMFIELD","Bloomfield Creek",43.9905586243,-77.2183303833,"Ontario",,"CAN",,,,
"02HD006","BOWMANVILLE CREEK AT BOWMANVILLE","Bowmanville Creek",43.9214706421,-78.702003479,"Ontario",,"CAN",,,,
"02HB022","BRONTE CREEK AT CARLISLE","Bronte Creek",43.3888587952,-79.9881134033,"Ontario",,"CAN",,,,
"02HB016","BRONTE CREEK AT PROGRESTON","Bronte Creek",43.3986091614,-79.9594421387,"Ontario",,"CAN",,,,
"02HB011","BRONTE CREEK NEAR ZIMMERMAN","Bronte Creek",43.4368896484,-79.8643264771,"Ontario",,"CAN",,,,
"02HC044","BROUGHAM CREEK AT BROUGHAM","Brougham Creek",43.9158287048,-79.1063919067,"Ontario",,"CAN",,,,
"02HK009","BURNLEY CREEK ABOVE WARKWORTH","Burnley Creek",44.196811676,-77.9110031128,"Ontario",,"CAN",,,,
"02HF003","BURNT RIVER NEAR BURNT RIVER","Burnt River",44.7098617554,-78.6775283813,"Ontario",,"CAN",,,,
"04213500","CATTARAUGUS CREEK AT GOWANDA NY","Cattaraugus Creek",42.4633333,-78.9341667,"Erie",,"US","X","X",436,"EST"
"02HC051","CENTREVILLE CREEK NEAR ALBION","Centreville Creek",43.9244384766,-79.8344421387,"Ontario",,"CAN",,,,
"04132052","CHEBOYGAN R (POND) AT LINCOLN AVE AT CHEBOYGAN  MI","Cheboygan River",45.6339007,-84.4811465,"Huron",,"US","X","X",1500,"EST"
"02HL102","CLARE RIVER NEAR BOGART","Clare River",44.4824981689,-77.2194366455,"Ontario",,"CAN",,,,
"04165500","CLINTON RIVER AT MORAVIAN DRIVE AT MT. CLEMENS  MI","Clinton River",42.5958674,-82.90881,"Erie",,"US","X","X",734,"EST"
"02HD019","COBOURG BROOK AT COBOURG","Cobourg Brook",43.9649391174,-78.1850585938,"Ontario",,"CAN",,,,
"02HK007","COLD CREEK AT ORLAND","Cold Creek",44.1347808838,-77.7868881226,"Ontario",,"CAN",,,,
"02HC023","COLD CREEK NEAR BOLTON","Cold Creek",43.8902816772,-79.7200012207,"Ontario",,"CAN",,,,
"02HM005","COLLINS CREEK NEAR KINGSTON","Collins Creek",44.2565002441,-76.6125564575,"Ontario",,"CAN",,,,
"02HB030","COOKSVILLE CREEK NEAR COOKSVILLE","Cooksville Creek",43.5923309326,-79.6238937378,"Ontario",,"CAN",,,,
"02HB029","CREDIT RIVER AT STREETSVILLE","Credit River",43.5822792053,-79.7087478638,"Ontario",,"CAN",,,,
"02HB026","CREDIT RIVER AT MISSISSAUGA GOLF COURSE","Credit River",43.5494918823,-79.6361236572,"Ontario",,"CAN",,,,
"02HB025","CREDIT RIVER AT NORVAL","Credit River",43.6475791931,-79.8560028076,"Ontario",,"CAN",,,,
"02HB018","CREDIT RIVER AT BOSTON MILLS","Credit River",43.7735786438,-79.9268264771,"Ontario",,"CAN",,,,
"02HB013","CREDIT RIVER NEAR ORANGEVILLE","Credit River",43.8912696838,-80.0624008179,"Ontario",,"CAN",,,,
"02HB002","CREDIT RIVER AT ERINDALE","Credit River",43.5427818298,-79.6572189331,"Ontario",,"CAN",,,,
